"","Role1","State","SoyH17","SoyH18","SoyH19","XtR17","XtR18","XtR19","PRE17","PRE18","PRE19","POST17","POST18","POST19"
"178","Farmer","Nebraska",60.7,85,60.7,0,0,0,0,0,0,0,0,0
"179","Farmer","Nebraska",48.6,48.6,40.5,0,0,29.8765432098765,0,0,NA,0,0,NA
"180","Farmer","Nebraska",85,76.9,80.9,0,0,0,0,0,0,0,0,0
"181","Farmer","Nebraska",2023.5,2023.5,2023.5,0,25.0012354830739,40,0,25.0012354830739,40,0,5.00123548307388,20
"182","Farmer","Nebraska",NA,323.8,242.8,NA,31.2538604076591,NA,NA,0,NA,NA,0,NA
"183","Farmer","Nebraska",445.2,485.6,809.4,0,0,0,0,0,0,0,0,0
"184","Farmer","Nebraska",121.4,137.6,89,0,0,0,0,0,0,0,0,0
"185","Farmer","Nebraska",15.4,14.6,15.4,0,0,0,NA,NA,NA,0,0,0
"186","Farmer","Nebraska",161.9,161.9,161.9,0,0,0,0,0,0,0,0,0
"187","Decision influencer","Nebraska",6070.4,8093.9,11331.4,83.3338824459673,89.9998764501662,89.2864076813103,33.3338824459673,40.0004941993353,35.7140335704326,66.6661175540327,69.9996293504985,80.3572374110878
"188","Farmer","Nebraska",161.9,182.1,182.1,10.0061766522545,100,100,0,100,100,0,100,100
"189","Decision influencer","Nebraska",8093.9,8093.9,NA,5.00006177491691,25.0003088745846,NA,2.49941313828933,20.0002470996677,NA,2.49941313828933,NA,NA
"190","Farmer","Nebraska",8093.9,8093.9,10117.4,25.0003088745846,74.9996911254154,79.9998023207543,7.49947491320624,40.0004941993353,47.9994860339613,10.0001235498338,20.0002470996677,59.9996046415087
"191","Farmer","Nebraska",809.4,809.4,0,0,0,NA,0,0,NA,0,0,NA
"192","Farmer","Nebraska",74.9,74.9,74.9,0,0,0,0,0,0,0,0,0
"193","Farmer","Nebraska",9.7,10.1,6.5,0,0,0,0,0,0,0,0,0
"194","Farmer","Nebraska",161.9,161.9,161.9,NA,NA,NA,0,0,0,0,0,0
"195","Farmer","Nebraska",161.9,161.9,161.9,0,25.0154416306362,NA,0,0,NA,0,0,NA
"196","Decision influencer","Nebraska",6070.4,6879.8,8093.9,13.3335529783869,76.470246228088,94.9999382250831,3.33256457564576,53.5291723596616,76.0004447794018,0.667171850289932,26.7653129451438,47.4999691125415
